country_code,country_name,year,value
AGO,Angola,2000,52
AGO,Angola,2008,42.7
AGO,Angola,2018,51.3
ALB,Albania,1996,27
ALB,Albania,2002,31.7
ALB,Albania,2005,30.6
ALB,Albania,2008,30
ALB,Albania,2012,29
ALB,Albania,2014,34.6
ALB,Albania,2015,32.8
ALB,Albania,2016,33.7
ALB,Albania,2017,33.1
ALB,Albania,2018,30.1
ALB,Albania,2019,30.8
ARE,United Arab Emirates,2013,32.5
ARE,United Arab Emirates,2014,32.5
ARE,United Arab Emirates,2018,26
ARG,Argentina,1986,42.8
ARG,Argentina,1987,45.3
ARG,Argentina,1991,46.8
ARG,Argentina,1992,45.5
ARG,Argentina,1993,44.9
ARG,Argentina,1994,45.9
ARG,Argentina,1995,48.9
ARG,Argentina,1996,49.5
ARG,Argentina,1997,49.1
ARG,Argentina,1998,50.7
ARG,Argentina,2000,51.1
ARG,Argentina,2001,53.3
ARG,Argentina,2002,53.8
ARG,Argentina,2003,50.9
ARG,Argentina,2004,48.4
ARG,Argentina,2005,47.7
ARG,Argentina,2006,46.3
ARG,Argentina,2007,46.2
ARG,Argentina,2008,44.9
ARG,Argentina,2009,43.7
ARG,Argentina,2010,43.6
ARG,Argentina,2011,42.6
ARG,Argentina,2012,41.3
ARG,Argentina,2013,40.9
ARG,Argentina,2014,41.6
ARG,Argentina,2016,42
ARG,Argentina,2017,41.1
ARG,Argentina,2018,41.3
ARG,Argentina,2019,42.9
ARG,Argentina,2020,42.3
ARM,Armenia,1999,36.2
ARM,Armenia,2001,35.4
ARM,Armenia,2002,34.8
ARM,Armenia,2003,33
ARM,Armenia,2004,37.5
ARM,Armenia,2005,36
ARM,Armenia,2006,29.7
ARM,Armenia,2007,31.2
ARM,Armenia,2008,29.2
ARM,Armenia,2009,28
ARM,Armenia,2010,30
ARM,Armenia,2011,29.4
ARM,Armenia,2012,29.6
ARM,Armenia,2013,30.6
ARM,Armenia,2014,31.5
ARM,Armenia,2015,32.4
ARM,Armenia,2016,32.5
ARM,Armenia,2017,33.6
ARM,Armenia,2018,34.4
ARM,Armenia,2019,29.9
ARM,Armenia,2020,25.2
AUS,Australia,1985,32.5
AUS,Australia,1989,33.2
AUS,Australia,1995,32.6
AUS,Australia,2001,33.5
AUS,Australia,2003,33.5
