WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.948665 40.70116)",K010001,Brooklyn,"3","01","334",WALLABOUT STREET,"11206","334 WALLABOUT STREET, Brooklyn, NY 11206","02265","0014",Pfizer Sites Development,,,Under Construction,Public Access Area,"Harrison Realty, LLC",,,,,,,, ,40.70116,-73.948665,"0998484","0194732","3000000","11206","33","507","3022650014",,POINT(-73.948665 40.70116),,No activity
"POINT (-73.957804 40.722954)",K010002,Brooklyn,"3","01","25",KENT AVENUE,"11249","25 KENT AVENUE, Brooklyn, NY 11249","02282","0001",,,,Completed,Publicly Accessible Open Space,,,,,,,,,Full/Partial,40.722954,-73.957804,"0995946","0202671","3425961","11249","33","557","3022820001",,POINT(-73.957804 40.722954),,No activity
"POINT (-73.968119 40.714962)",K010003,Brooklyn,"3","01","316",KENT AVENUE,"11249","316 KENT AVENUE, Brooklyn, NY 11249","02414","0001",Domino Sugar Factory,,,,Public Access Area,,,,,,,,,Full/Partial,40.714962,-73.968119,"0993088","0199758","3000000","11249","33","551","3024140001",,POINT(-73.968119 40.714962),"3425019",New BIN issued
"POINT (-73.988771 40.690409)",K020001,Brooklyn,"3","02","130",LIVINGSTON STREET,"11201","130 LIVINGSTON STREET, Brooklyn, NY 11201","00163","0001",Livingston Plaza,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place","1991",Completed,Plaza,Cohen Brothers,Murphy/Jahn Architects,Murphy/Jahn Architects,Plaza 19201.00 sf,24 Hours,"Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street",decorative pavement near intersection of Boerem Place and Livingston Street,,Full/Partial,40.690409,-73.988771,"0987364","0190811","3319419","11201","33","37","3001630001",,POINT(-73.988771 40.690409),,No activity
"POINT (-73.987992 40.693812)",K020002,Brooklyn,"3","02","350",JAY STREET,"11201","350 JAY STREET, Brooklyn, NY 11201","00140","7501",Renaissance Plaza,West side of Jay Street between Willoughby Street and Tech Place,"1998",Completed,"Plaza and Plaza Connected Open Space; Urban Plaza",Muss Development Company,William B. Tabler Architects,"William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003)",Urban Plaza 28805.00 sf,24 Hours,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space",,Other Permitted,Full/Partial,40.693812,-73.987992,"0987580","0192051","3000259","11201","33","11","3001407501",,POINT(-73.987992 40.693812),,No activity
"POINT (-73.986719 40.693222)",K020003,Brooklyn,"3","02","1",METROTECH CENTER,"11201","1 METROTECH CENTER, Brooklyn, NY 11201","00147","0004",,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street","1990",Completed,Commons and Public Areas,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,Commons and Public Areas 0.00 sf,24 Hours,"Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space","Jay Plaza: newsstand, trellis; security",,Full/Partial,40.693222,-73.986719,"0987933","0191836","3319418","11201","33","11","3001470004",,POINT(-73.986719 40.693222),,No activity
"POINT (-73.989806 40.691476)",K020006,Brooklyn,"3","02","111",LIVINGSTON STREET,"11201","111 LIVINGSTON STREET, Brooklyn, NY 11201","00266","0001",,Northwest corner of Livingston Street and Boerem Place,"1969",Completed,Plaza,,,,Plaza 9920.00 sf,24 Hours,None,,,Full/Partial,40.691476,-73.989806,"0987077","0191200","3002555","11201","33","9","3002660001",,POINT(-73.989806 40.691476),,No activity
"POINT (-73.978636 40.688253)",K020007,Brooklyn,"3","02","230",ASHLAND PLACE,"11217","230 ASHLAND PLACE, Brooklyn, NY 11217","02095","7502",Forte,North of Fulton Street between Ashland Place and Rockwell Place,"2007",Completed,Residential Plaza,The Clarett Group,FXFowle Architects,Sullivan Group Design,Residential Plaza 3960.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",adjacent wall of Brooklyn Academy of Music covered in planting,,Full/Partial,40.688253,-73.978636,"0990175","0190026","3393804","11217","35","33","3020957502",,POINT(-73.978636 40.688253),,No activity
"POINT (-73.982885 40.694078)",K020008,Brooklyn,"3","02","343",GOLD STREET,"11201","343 GOLD STREET, Brooklyn, NY 11201","02049","0002",Avalon Fort Greene,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,"2008",Completed,Residential Plaza,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,Residential Plaza 17475.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Unknown,40.694078,-73.982885,"0988996","0192148","3393888","11201","35","15","3020490002",,POINT(-73.982885 40.694078),,No activity
"POINT (-73.986566 40.698099)",K020009,Brooklyn,"3","02","203",JAY STREET,"11201","203 JAY STREET, Brooklyn, NY 11201","00107","7501",,Building located on the east side of Jay Street between Concord Street and Nassau Street,"0",Under Construction,Public Plaza,,,Scape Landscape Architecture PLLC,Public Plaza 10405.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.698099,-73.986566,"0987975","0193613","3426023","11201","33","13","3001077501",,POINT(-73.986566 40.698099),,No activity
"POINT (-73.977918 40.687418)",K020010,Brooklyn,"3","02","620",FULTON STREET,"11217","620 FULTON STREET, Brooklyn, NY 11217","02108","0001",,Building is located at the northeast corner of Fulton Street and St. Felix Street.,"2017",Completed,Public Plaza,,,"Langan, Civil Engineer & Landscape Architect",Public Plaza 2768.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space",,,Full/Partial,40.687418,-73.977918,"0990374","0189722","3424471","11217","35","33","3021080001",,POINT(-73.977918 40.687418),,No activity
"POINT (-73.987158 40.699584)",K020011,Brooklyn,"3","02","90",SANDS STREET,"11201","90 SANDS STREET, Brooklyn, NY 11201","00087","0009",,"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.","1996",Completed,Plaza,,,,Plaza 7672.25 sf,24 Hours,,,,None,40.699584,-73.987158,"0987811","0194154","3000179","11201","33","13","3000870009",,POINT(-73.987158 40.699584),,No activity
